Timestamp,EPC,Location,Process,Staff
2026-01-30T08:00:00+08:00,30352AC2D4000000000000001,new linen department,in,25002
2026-01-30T12:29:00+08:00,30352AC2D4000000000000001,new linen department,out,25004
2026-01-30T14:13:00+08:00,30352AC2D4000000000000001,laundry department,in,21005
2026-01-31T05:22:00+08:00,30352AC2D4000000000000001,laundry department,out,21004
2026-01-31T06:15:00+08:00,30352AC2D4000000000000001,new linen department,in,25002
2026-01-31T11:11:00+08:00,30352AC2D4000000000000001,new linen department,out,25001
2026-01-31T12:37:00+08:00,30352AC2D4000000000000001,cleaned linen department,in,25002
2026-02-03T06:10:00+08:00,30352AC2D4000000000000001,cleaned linen department,out,25003
2026-02-03T07:39:00+08:00,30352AC2D4000000000000001,5C ward,in,25003
2026-02-05T11:09:00+08:00,30352AC2D4000000000000001,5C ward,out,25004
2026-02-05T11:57:00+08:00,30352AC2D4000000000000001,laundry department,in,21004
2026-02-06T07:26:00+08:00,30352AC2D4000000000000001,laundry department,out,21003
2026-02-06T08:26:00+08:00,30352AC2D4000000000000001,cleaned linen department,in,25004
2026-02-08T17:53:00+08:00,30352AC2D4000000000000001,cleaned linen department,out,25001
2026-02-08T19:43:00+08:00,30352AC2D4000000000000001,5C ward,in,25004
2026-01-30T08:30:00+08:00,30352AC2D4000000000000002,new linen department,in,25003
2026-01-30T13:16:00+08:00,30352AC2D4000000000000002,new linen department,out,25004
2026-01-30T14:06:00+08:00,30352AC2D4000000000000002,laundry department,in,21004
2026-01-31T06:17:00+08:00,30352AC2D4000000000000002,laundry department,out,21005
2026-01-31T07:36:00+08:00,30352AC2D4000000000000002,new linen department,in,25002
2026-01-31T09:58:00+08:00,30352AC2D4000000000000002,new linen department,out,25003
2026-01-31T10:33:00+08:00,30352AC2D4000000000000002,cleaned linen department,in,25003
2026-02-03T09:22:00+08:00,30352AC2D4000000000000002,cleaned linen department,out,25001
2026-02-03T09:56:00+08:00,30352AC2D4000000000000002,5C ward,in,25003
2026-02-05T02:03:00+08:00,30352AC2D4000000000000002,5C ward,out,25004
2026-02-05T03:01:00+08:00,30352AC2D4000000000000002,laundry department,in,21004
2026-02-05T20:09:00+08:00,30352AC2D4000000000000002,laundry department,out,21003
2026-02-05T21:05:00+08:00,30352AC2D4000000000000002,cleaned linen department,in,25001
2026-02-08T10:11:00+08:00,30352AC2D4000000000000002,cleaned linen department,out,25001
2026-02-08T11:33:00+08:00,30352AC2D4000000000000002,5C ward,in,25004
2026-01-30T09:00:00+08:00,30352AC2D4000000000000003,new linen department,in,25002
2026-01-30T14:53:00+08:00,30352AC2D4000000000000003,new linen department,out,25004
2026-01-30T16:23:00+08:00,30352AC2D4000000000000003,laundry department,in,21003
2026-01-31T11:42:00+08:00,30352AC2D4000000000000003,laundry department,out,21005
2026-01-31T12:22:00+08:00,30352AC2D4000000000000003,new linen department,in,25002
2026-01-31T18:04:00+08:00,30352AC2D4000000000000003,new linen department,out,25004
2026-01-31T19:40:00+08:00,30352AC2D4000000000000003,cleaned linen department,in,25002
2026-02-03T04:56:00+08:00,30352AC2D4000000000000003,cleaned linen department,out,25003
2026-02-03T06:02:00+08:00,30352AC2D4000000000000003,5C ward,in,25003
2026-02-05T00:38:00+08:00,30352AC2D4000000000000003,5C ward,out,25003
2026-02-05T01:17:00+08:00,30352AC2D4000000000000003,laundry department,in,21003
2026-02-05T18:35:00+08:00,30352AC2D4000000000000003,laundry department,out,21003
2026-02-05T20:11:00+08:00,30352AC2D4000000000000003,cleaned linen department,in,25001
2026-02-07T20:18:00+08:00,30352AC2D4000000000000003,cleaned linen department,out,25004
2026-02-07T22:18:00+08:00,30352AC2D4000000000000003,5C ward,in,25003
2026-01-30T09:30:00+08:00,30352AC2D4000000000000004,new linen department,in,25004
2026-01-30T13:30:00+08:00,30352AC2D4000000000000004,new linen department,out,25003
2026-01-30T14:46:00+08:00,30352AC2D4000000000000004,laundry department,in,21003
2026-01-31T06:36:00+08:00,30352AC2D4000000000000004,laundry department,out,21003
